hs_code,code_format,description,duty_rate,efta,sg,usa,chapter,heading
030219000000,03.02.19.00.00.00, -أسماك سلمون المحيط األطلسي (سالموساالر) وأسماك سلمون الدانواب(هوكوهوكو) . -غيرها أسماك مفلطحة (بلورنكتيداي أو بوثيداي ،أو سينو جلو سيدليداي أو سوليداي ،أوسكوفتا لميداي و سيثاريداي) ،بإستثناء أحشاء األسماك الصالحة لألكل الداخلة في,,,,,5,03.02
030221000000,03.02.21.00.00.00, -أسماك قفندر (رينهاردتيوس هيبوجلوسودايس ،هيبوجلوسوس هيبوجلوسوس،هيبوجلوسوس ستينوليبيس),,,,,5,03.02
030222000000,03.02.22.00.00.00,,,,,,5,03.02
030223000000,03.02.23.00.00.00,,,,,,5,03.02
030224000000,03.02.24.00.00.00," -أسماك هوشع (بلورونكتس بالتيسا) -أسماك موسى ( من أنواع سوليا) -أسماك الترس (تربوت) ( بيستا ماكسيما). -غيرها أسماك تونة (من نوع ثونوس) التونة الوثابة أو بونيتو مخطط البطن(""كاتسوونوس"" بيالميس) ،باستثناء احشاء السمك الصالحة لألكل الداخلة في",,,,,5,03.02
030229000000,03.02.29.00.00.00," -أسماك هوشع (بلورونكتس بالتيسا) -أسماك موسى ( من أنواع سوليا) -أسماك الترس (تربوت) ( بيستا ماكسيما). -غيرها أسماك تونة (من نوع ثونوس) التونة الوثابة أو بونيتو مخطط البطن(""كاتسوونوس"" بيالميس) ،باستثناء احشاء السمك الصالحة لألكل الداخلة في البنود الفرعية 91 02 03لغاية : 99 02 03",,,,,5,03.02
030199100000,03.01.99.10.00.00,,,,,,5,03.04
030199900000,03.01.99.90.00.00,,,,,,5,03.04
030195000000,03.01.95.00.00.00, اإلجراء,,,,,5,02.91
030231000000,03.02.31.00.00.00, - -أسماك تونة بيضاء (ثونوس األلونجا),,,,,5,02.91
030232000000,03.02.32.00.00.00, - -أسماك تونة ذات زعانف صفراء (ثونوس البكارس),,,,,5,02.91
030233000000,03.02.33.00.00.00, - -أسماك وثاب أو بونيتو مخطط البطن (كاتسوونوس بيالميس),,,,,5,02.91
030234000000,03.02.34.00.00.00, -أسماك تونة ذات عيون كبيرة ( Bigeyeثونوس أوبسوس) -أسماك تونة المحيط األطلسي والمحيط الهادي ذات زعانف زرقاء ( ثونوسثاينوس .ثونوس أورينتاليس ) . -أسماك تونة جنوبية ذات زعانف زرقاء (ثونوس ماكويي) -غيرها : - -أسماك سهوه ( قباب ) ( ثونوس تنجل ) - -أسماك صده ( شروي ) ( ثونوس أفينس ) . - - -غيرها :,,,,,5,02.91
030239910000,03.02.39.91.00.00, - - - -سمك سقطانة -مرمرة (ساردا اورينتالس) طازجة ومبردة,,,,,5,02.91
030239920000,03.02.39.92.00.00, - - - -سمك تبانه -دريه (أوكسس ثازارد) طازجة ومبردة,,,,,5,02.91
030239930000,03.02.39.93.00.00, - - - -سمك حقيبة (كاتسونوس بيالمس) طازجة ومبردة,,,,,5,02.91
030239940000,03.02.39.94.00.00, - - - -سمك باغة -فاهي (راستريليجر كاناقورتا) طازجة ومبردة,,,,,5,02.91
030239990000,03.02.39.99.00.00, - - - -غيرها من سمك تونة طازجة ومبردة,,,,,5,02.91
030235000000,03.02.35.00.00.00,,,,,,5,02.91
030236000000,03.02.36.00.00.00,,,,,,5,02.91
030239100000,03.02.39.10.00.00, أسماك رنجة (كلوبيا هارنجس ،كلوبيا باالسي) ،أسماك أنشوفة (من أنواعانجروليس) ،أسماك السردين ( ساردينيا بيلكاردوس ساردينوبس) ،وأسماك,,,,,5,02.91
